conf,f1_iou30,f1_iou50,f1_iou75
0.03,0.4613506916192026,0.4609438567941415,0.4288039056143206
0.05,0.5550098231827112,0.5545186640471512,0.5152259332023575
0.08,0.6349206349206349,0.6343537414965986,0.5901360544217686
0.1,0.6761933718455457,0.6749771967163272,0.6293706293706295
0.15,0.7418157273034086,0.7397907526155922,0.6918663516706041
0.2,0.7821067821067822,0.7806637806637806,0.7323232323232324
0.25,0.8154080854309687,0.8131197559115179,0.7612509534706331
0.35,0.8421052631578947,0.83630335681724,0.7849150435142975
0.5,0.7923790913531998,0.7767464582315584,0.7366878358573522
