metrica,media,desvio_padrao,min,max
precisao,0.7677803321366452,0.04308971311531776,0.696290855673889,0.8078795927401505
revocacao,0.8298041971134271,0.02733236013017363,0.7914137033824805,0.8669267446900737
f1,0.7968888018080877,0.02674799198763364,0.7538767395626242,0.8254230293025175
mae_contagem,5.852499999999999,1.088304300276352,4.95,7.7
rmse_contagem,9.30734601283655,2.0633135357161483,7.17809166840324,12.37739875741264
bias_contagem,2.4125,2.0751882444732574,-0.5875,5.2
ap50,0.8568526077133127,0.025645013176835353,0.8133409792546096,0.8789743387227773
