fold,modelo,box_size_px,split_avaliado,heldout_imagens,heldout_celulas,conf_selecionado_val,conf_aplicado_teste,iou,tp,fp,fn,precisao,revocacao,f1,mae_contagem,rmse_contagem,bias_contagem,ap50,f1_val_interno,mae_val_interno,output_dir,train_run,train_best_epoch,train_best_precision,train_best_recall,train_best_map50,train_best_map50_95
1,YOLO11s,144,test,80,2307,0.35,0.35,0.5,1896,827,411,0.696290855673889,0.8218465539661899,0.7538767395626242,7.7,12.37739875741264,5.2,0.8133409792546096,0.750801282051282,7.75,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\outputs_detection\kfold\yolo11s_box144\fold_01,yolo11s_832_box144_kfold,24,0.76718,0.81735,0.85084,0.51306
2,YOLO11s,144,test,80,2307,0.5,0.5,0.5,1916,597,391,0.7624353362514923,0.8305158214130905,0.7950207468879669,5.375,7.945124291035352,2.575,0.8560745051429073,0.8014950166112957,5.8,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\outputs_detection\kfold\yolo11s_box144\fold_02,yolo11s_832_box144_kfold,53,0.79101,0.82751,0.86019,0.61167
3,YOLO11s,144,test,80,2306,0.5,0.5,0.5,1825,434,481,0.8078795927401505,0.7914137033824805,0.7995618838992332,5.9125,10.268276388956425,-0.5875,0.8688635525249858,0.8072502210433244,5.75,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\outputs_detection\kfold\yolo11s_box144\fold_03,yolo11s_832_box144_kfold,55,0.78061,0.84568,0.87923,0.61109
4,YOLO11s,144,test,80,2307,0.35,0.35,0.5,2000,539,307,0.7877116975187082,0.8669267446900737,0.8254230293025175,5.325,8.76783895837509,2.9,0.8789743387227773,0.8428927680798005,4.9,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\outputs_detection\kfold\yolo11s_box144\fold_04,yolo11s_832_box144_kfold,53,0.85031,0.86518,0.91497,0.65501
5,YOLO11s,144,test,80,2307,0.5,0.5,0.5,1934,531,373,0.7845841784989858,0.8383181621153013,0.8105616093880972,4.95,7.17809166840324,1.975,0.8670096629212839,0.7971303308090874,7.075,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\outputs_detection\kfold\yolo11s_box144\fold_05,yolo11s_832_box144_kfold,49,0.78497,0.83203,0.86783,0.58269
